Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,BoilGravityMod
887,11.36,1.056,1.004,6.76,32.88,8.49,15.71,90,70.0,1.45,Specific Gravity,All Grain,,21.11,1.094
888,23.0,1.043,1.008,4.63,18.53,7.56,26.0,60,75.0,2.5,Specific Gravity,All Grain,,,1.01
889,6.6,1.073,1.018,7.16,53.25,11.17,7.59,60,70.0,,Specific Gravity,All Grain,,,1.043
890,19.0,1.054,1.009,5.83,53.06,5.94,25.0,60,68.0,3.0,Specific Gravity,All Grain,,20.0,1.048
891,8.0,1.088,1.025,8.32,98.62,14.22,10.0,60,75.0,,Specific Gravity,All Grain,,20.0,1.3286333398552141
892,25.0,1.053,1.013,5.2,41.14,3.6,28.5,60,70.0,3.0,Specific Gravity,All Grain,0.75,18.0,12.5
893,20.82,1.0490000000000002,1.01,5.2,37.74,9.68,24.61,60,70.0,1.5,Specific Gravity,All Grain,,21.11,1.046
894,113.56,1.091,1.019,9.52,27.87,28.03,117.35,65,65.0,1.5,Specific Gravity,All Grain,,20.0,1.048
895,15.14,1.055,1.013,5.58,28.98,4.23,18.93,60,75.0,2.0,Specific Gravity,All Grain,0.75,20.0,1.044
896,35.0,1.056,1.009,6.11,47.7,10.96,40.0,60,65.0,2.5,Specific Gravity,All Grain,0.75,19.0,1.063
897,24.0,1.0490000000000002,1.01,5.09,17.13,13.58,11.0,60,35.0,,Specific Gravity,Partial Mash,0.75,19.0,1.039
898,41.64,1.089,1.024,8.51,116.83,7.91,51.1,60,70.0,1.5,Specific Gravity,All Grain,,20.0,1.058
899,20.82,1.061,1.017,5.76,47.27,6.73,26.5,60,66.0,,Specific Gravity,All Grain,,,1.044
900,18.93,1.067,1.022,5.89,41.03,39.24,28.01,60,72.0,1.7,Specific Gravity,All Grain,0.35,20.0,1.053
901,18.93,1.086,1.019,8.91,138.5,13.68,17.03,60,35.0,,Specific Gravity,extract,1.25,20.0,1.036
902,20.82,1.08,1.022,7.57,76.2,9.68,28.39,60,75.0,,Specific Gravity,BIAB,,18.33,1.05
903,9.46,1.056,1.011,5.9,22.73,3.59,11.36,45,75.0,,Specific Gravity,BIAB,0.35,18.33,1.045
904,20.82,1.054,1.01,5.74,50.45,5.67,28.39,60,75.0,1.5,Specific Gravity,All Grain,,18.89,1.0490000000000002
905,2801.2,14.2799,3.2705,5.94,57.71,4.03,3028.33,90,94.0,1.5,Plato,All Grain,,25.56,1.039
906,13.0,1.053,1.01,5.65,36.62,7.36,13.0,15,35.0,,Specific Gravity,extract,0.75,19.0,1.151
907,11.36,1.05,1.012,5.04,36.99,6.31,13.25,60,35.0,,Specific Gravity,extract,0.75,16.67,1.084
908,18.93,1.07,1.018,6.77,106.21,8.44,18.93,90,35.0,,Specific Gravity,extract,,20.0,1.034
909,20.82,1.046,1.013,4.29,54.49,33.0,18.93,60,35.0,,Specific Gravity,extract,,,1.033
910,22.71,1.093,1.018,9.84,84.35,5.74,26.5,60,70.0,1.25,Specific Gravity,All Grain,0.5,20.0,1.04
911,20.82,1.037,1.01,3.55,24.28,9.76,24.61,30,70.0,1.5,Specific Gravity,All Grain,,20.0,1.037
912,647.31,11.4379,2.68606,4.66,56.15,5.13,715.44,60,90.0,1.25,Plato,All Grain,0.75,,1.044
913,25.0,1.051,1.01,5.45,37.89,20.81,30.0,60,70.0,,Specific Gravity,BIAB,,15.0,1.2288499335989376
914,20.82,1.044,1.012,4.32,26.32,3.47,15.14,60,35.0,,Specific Gravity,extract,0.35,21.11,1.04
915,18.93,1.087,1.018,9.82,96.98,16.39,18.93,90,35.0,,Specific Gravity,extract,0.5,21.11,1.043
916,11.36,1.071,1.014,7.58,170.86,13.2,5.68,60,25.0,,Specific Gravity,extract,0.35,18.33,1.055
917,60.0,1.052,1.013,5.09,39.21,5.84,70.0,60,70.0,2.5,Specific Gravity,All Grain,0.75,20.0,1.041
918,19.87,1.056,1.011,5.94,41.09,34.52,27.44,60,70.0,1.25,Specific Gravity,All Grain,,,1.038
919,13.5,1.071,1.023,6.32,46.77,42.87,13.5,60,65.0,,Specific Gravity,Partial Mash,0.5,,1.051
920,21.0,1.048,1.01,4.96,27.73,4.36,28.5,60,82.0,3.0,Specific Gravity,All Grain,,,1.04
921,20.5,1.091,1.016,9.81,147.89,8.63,26.2,90,70.0,,Specific Gravity,BIAB,1.25,19.0,1.0490000000000002
922,18.93,1.053,1.01,5.61,30.31,7.19,30.28,60,35.0,1.5,Specific Gravity,All Grain,,20.0,1.052
923,25.0,1.052,1.01,5.54,94.7,5.62,28.0,60,70.0,1.5,Specific Gravity,All Grain,,,1.042
924,26.0,1.054,1.012,5.45,42.35,6.16,28.5,60,61.0,3.0,Specific Gravity,All Grain,,,1.072
925,20.82,1.055,1.009,6.03,35.93,15.48,28.39,60,70.0,,Specific Gravity,BIAB,0.35,20.0,1.027
926,43.53,1.09,1.017,9.47,98.89,13.28,54.89,90,67.0,1.25,Specific Gravity,All Grain,,20.0,1.098
927,25.55,1.07,1.017,6.86,32.32,6.71,36.91,60,70.0,1.5,Specific Gravity,All Grain,,,1.035
928,18.93,1.056,1.01,5.96,24.05,15.84,24.61,90,79.0,1.5,Specific Gravity,All Grain,1.0,21.67,1.043
929,18.93,1.094,1.018,10.0,23.96,47.71,28.39,60,70.0,1.25,Specific Gravity,All Grain,,20.0,1.1
930,20.0,1.064,1.011,6.87,24.09,9.25,7.0,60,35.0,,Specific Gravity,extract,0.75,22.5,1.063
931,9.46,1.07,1.02,6.65,38.27,21.0,12.87,60,75.0,,Specific Gravity,All Grain,,,1.027
932,20.82,20.8175,6.92385,7.77,84.17,38.11,28.39,60,75.0,1.5,Plato,All Grain,2.0,20.0,1.2428501978518935
933,45.42,1.05,1.012,5.04,22.7,3.72,51.1,90,70.0,1.25,Specific Gravity,All Grain,,18.33,1.04
934,20.82,1.053,1.014,5.14,19.73,3.67,27.44,90,75.0,1.5,Specific Gravity,All Grain,1.25,,1.054
935,20.82,1.063,1.012,6.72,67.15,6.93,28.39,60,70.0,0.7,Specific Gravity,All Grain,,,1.043
936,29.0,1.0490000000000002,1.009,5.24,47.62,5.48,28.5,90,60.0,3.0,Specific Gravity,All Grain,,,1.018
937,20.82,1.065,1.018,6.2,74.57,27.12,28.39,60,70.0,1.3,Specific Gravity,All Grain,,20.0,1.041
938,20.82,1.055,1.013,5.53,40.04,6.11,25.55,75,57.0,1.5,Specific Gravity,All Grain,1.0,20.0,1.045
939,21.0,1.051,1.01,5.39,47.5,6.42,30.0,60,68.0,1.5,Specific Gravity,All Grain,1.0,19.0,1.048
940,20.82,1.0490000000000002,1.012,4.85,20.69,6.15,11.36,60,35.0,,Specific Gravity,Partial Mash,,,1.052
941,49.21,14.1148,2.18796,6.4,22.31,3.6,53.0,60,85.0,1.5,Plato,All Grain,0.5,18.89,1.2661630837657525
942,18.0,1.072,1.017,7.18,25.3,3.48,22.5,75,85.0,,Specific Gravity,BIAB,,18.0,1.037
943,16.0,1.058,1.018,5.28,31.88,4.77,22.0,60,70.0,4.1,Specific Gravity,All Grain,0.35,20.0,1.056
944,4.54,1.056,1.01,6.03,68.73,4.66,5.68,60,70.0,1.5,Specific Gravity,All Grain,,,1.056
945,20.82,1.062,1.012,6.51,23.79,6.52,26.5,60,70.0,1.1,Specific Gravity,All Grain,0.75,21.11,1.053
946,22.0,1.052,1.008,5.75,23.45,5.05,30.0,90,64.0,3.3,Specific Gravity,All Grain,,24.0,1.119
947,18.93,1.069,1.017,6.83,59.06,8.37,26.5,60,65.0,1.25,Specific Gravity,All Grain,,18.33,1.044
948,20.82,1.05,1.012,4.95,19.52,4.72,28.39,60,70.0,1.5,Specific Gravity,All Grain,0.35,23.89,1.036
949,5.0,1.056,1.009,6.1,58.35,16.79,8.0,60,60.0,,Specific Gravity,BIAB,0.35,19.0,1.048
950,20.82,1.048,1.011,4.89,46.21,9.28,28.39,60,68.0,1.25,Specific Gravity,All Grain,,20.0,1.035
951,53.0,1.091,1.015,10.88,0.0,19.48,60.57,55,65.0,1.1,Specific Gravity,All Grain,,,1.056
952,23.0,1.06,1.017,5.71,41.43,6.03,28.5,60,70.0,3.0,Specific Gravity,All Grain,,18.0,1.03
953,22.71,1.067,1.021,5.97,69.25,7.44,28.39,60,72.0,,Specific Gravity,BIAB,0.75,18.89,1.047
954,21.0,1.062,1.013,6.45,66.66,6.32,26.0,60,75.0,2.7,Specific Gravity,All Grain,1.0,18.0,1.036
955,45.0,1.058,1.012,6.14,76.77,9.43,55.0,60,70.0,3.0,Specific Gravity,All Grain,0.5,21.0,1.029
956,20.82,1.061,1.017,5.86,91.74,4.67,28.39,60,65.0,,Specific Gravity,BIAB,,20.0,1.042
957,20.82,1.0659999999999998,1.019,6.15,37.53,6.74,26.08,60,72.0,1.5,Specific Gravity,All Grain,0.75,18.33,1.058
958,20.0,1.047,1.008,5.19,43.79,9.36,22.5,60,75.0,3.0,Specific Gravity,All Grain,0.5,20.0,1.043
959,11.0,1.04,1.012,3.67,61.68,5.31,16.0,40,60.0,2.5,Specific Gravity,All Grain,,18.0,1.008
960,20.82,1.048,1.009,5.15,28.36,5.13,15.14,60,74.0,,Specific Gravity,BIAB,,22.22,1.0659999999999998
961,20.82,1.057,1.012,5.86,27.82,6.96,26.5,60,72.0,1.0,Specific Gravity,All Grain,0.75,22.22,1.047
962,18.93,1.0759999999999998,1.016,7.96,60.07,10.19,18.93,60,70.0,,Specific Gravity,Partial Mash,0.35,20.0,1.0590000000000002
963,23.0,1.048,1.011,4.9,41.83,7.66,11.0,60,35.0,,Specific Gravity,extract,0.35,21.0,1.041
964,24.61,1.055,1.013,5.58,22.73,5.55,30.28,60,80.0,1.25,Specific Gravity,All Grain,0.5,17.78,1.189
965,20.82,1.068,1.016,6.79,87.43,5.07,27.63,60,70.0,1.5,Specific Gravity,All Grain,0.75,20.0,1.05
966,18.93,1.051,1.009,5.63,30.83,8.36,28.01,60,70.0,,Specific Gravity,BIAB,0.35,18.89,1.05
967,19.87,1.064,1.015,6.47,56.62,8.23,29.34,60,70.0,1.35,Specific Gravity,All Grain,,21.11,1.026
968,18.93,1.065,1.015,6.56,69.92,6.25,9.46,60,50.0,,Specific Gravity,extract,0.35,20.0,1.052
969,18.93,1.069,1.019,6.52,60.18,11.59,26.12,60,65.0,1.5,Specific Gravity,All Grain,1.0,15.56,1.046
970,18.93,1.056,1.014,5.54,38.45,15.73,24.61,60,70.0,1.25,Specific Gravity,All Grain,,22.22,1.038
971,20.0,13.6025,3.10141,5.64,28.05,3.57,22.0,60,65.0,3.0,Plato,All Grain,,,1.047
972,20.82,1.125,1.026,13.05,35.15,5.95,30.28,90,75.0,1.75,Specific Gravity,All Grain,1.25,20.0,1.045
973,75.0,1.073,1.016,7.39,60.06,9.88,80.0,60,70.0,3.0,Specific Gravity,All Grain,,,1.046
974,20.82,1.061,1.013,6.36,59.51,4.95,24.61,60,70.0,1.5,Specific Gravity,All Grain,0.35,18.33,1.043
975,24.0,1.0590000000000002,1.013,5.95,0.0,7.11,28.5,90,70.0,3.1,Specific Gravity,All Grain,0.35,20.0,1.033
976,41.64,1.073,1.011,8.13,83.08,7.6,49.21,60,65.0,1.5,Specific Gravity,All Grain,0.75,19.44,1.045
977,21.0,1.058,1.01,6.31,47.13,4.41,28.0,60,70.0,3.1,Specific Gravity,All Grain,,19.0,1.05
978,13.25,1.071,1.02,6.75,54.94,39.49,18.93,66,76.0,1.5,Specific Gravity,All Grain,0.5,19.44,1.106
979,23.0,1.069,1.012,7.56,79.98,7.33,32.0,60,70.0,,Specific Gravity,BIAB,,,14.5
980,21.0,1.05,1.01,5.24,25.31,5.63,25.0,60,67.0,,Specific Gravity,BIAB,0.5,28.0,1.043
981,25.0,1.056,1.011,5.94,20.42,11.24,30.0,60,70.0,6.0,Specific Gravity,All Grain,,,1.04
982,24.61,1.052,1.013,5.09,29.2,20.55,26.5,60,75.0,1.3,Specific Gravity,All Grain,0.75,20.0,1.036
983,20.82,1.046,1.012,4.42,27.28,9.36,28.39,60,75.0,,Specific Gravity,extract,,18.89,1.214
984,475.0,1.062,1.012,6.55,109.24,3.65,485.0,60,75.0,1.5,Specific Gravity,All Grain,,,1.037
985,20.82,1.072,1.016,7.37,64.5,8.23,26.5,60,75.0,,Specific Gravity,BIAB,,,1.044
986,18.93,1.0490000000000002,1.01,5.07,44.55,27.42,13.25,45,60.0,,Specific Gravity,Partial Mash,0.35,21.11,1.046
987,18.93,1.074,1.014,7.81,140.91,11.47,26.5,60,75.0,1.25,Specific Gravity,All Grain,,24.44,1.04
988,22.71,1.053,1.012,5.4,42.0,9.94,11.36,60,25.0,,Specific Gravity,extract,,18.33,1.052
989,20.82,1.0590000000000002,1.009,6.65,27.63,9.5,28.39,90,80.0,1.25,Specific Gravity,All Grain,0.5,32.22,1.051
990,24.61,1.08,1.016,8.38,120.24,8.81,34.07,60,63.0,1.25,Specific Gravity,All Grain,,,1.0490000000000002
991,4.0,1.058,1.014,5.67,18.8,23.21,8.0,60,70.0,,Specific Gravity,Partial Mash,,,1.037
992,352.04,1.102,1.023,10.35,0.0,31.79,378.54,60,70.0,1.5,Specific Gravity,All Grain,,,1.0590000000000002
993,20.82,1.044,1.009,4.68,28.1,10.87,24.61,60,67.0,,Specific Gravity,BIAB,,18.33,1.036
994,7.57,1.0590000000000002,1.016,5.64,0.0,3.54,8.33,60,75.0,,Specific Gravity,BIAB,,,1.035
995,20.82,1.041,1.008,4.25,18.64,3.24,15.14,60,72.0,,Specific Gravity,Partial Mash,,20.0,1.053
996,20.82,1.062,1.011,6.72,32.95,6.12,29.9,90,70.0,1.5,Specific Gravity,All Grain,0.5,20.0,1.042
997,21.0,1.0659999999999998,1.016,6.55,44.94,44.84,25.0,60,76.0,3.0,Specific Gravity,All Grain,0.75,19.0,1.057
998,49.21,1.053,1.009,5.7,29.55,4.76,54.89,60,70.0,2.0,Specific Gravity,All Grain,,,1.085
999,20.82,1.054,1.014,5.36,26.54,30.05,28.39,60,75.0,2.0,Specific Gravity,All Grain,0.35,21.11,1.05
1000,23.0,1.062,1.012,6.51,66.46,11.12,26.0,60,70.0,2.7,Specific Gravity,All Grain,0.5,16.0,1.046
1001,45.42,1.0659999999999998,1.013,6.97,61.65,4.29,53.0,90,80.0,1.35,Specific Gravity,All Grain,,18.89,13.8
1002,18.93,1.054,1.016,4.93,33.99,28.81,27.63,60,70.0,,Specific Gravity,BIAB,0.5,18.33,1.048
1003,27.0,1.06,1.014,6.02,28.52,22.63,33.0,90,78.0,3.0,Specific Gravity,All Grain,,19.0,1.068
1004,46.0,12.4856,2.49133,5.34,31.23,11.74,56.0,90,75.0,4.1,Plato,All Grain,0.75,18.0,1.14
1005,23.0,1.047,1.009,4.94,95.14,4.66,8.0,60,35.0,,Specific Gravity,extract,0.75,20.0,1.043
1006,41.64,1.054,1.013,5.44,21.02,4.02,52.05,90,80.0,1.3,Specific Gravity,All Grain,1.0,20.0,1.06
1007,80.0,1.055,1.011,5.72,44.57,6.65,85.0,65,80.0,3.0,Specific Gravity,All Grain,,20.0,1.032
1008,20.82,1.0590000000000002,1.014,5.9,116.98,4.26,28.39,60,70.0,1.33,Specific Gravity,All Grain,0.75,17.78,1.047
1009,20.82,1.048,1.01,4.95,31.44,6.83,28.39,75,75.0,1.25,Specific Gravity,All Grain,,23.89,1.053
1010,18.93,1.087,1.02,8.74,142.85,17.15,18.93,60,65.0,,Specific Gravity,Partial Mash,0.35,21.11,1.03
1011,23.0,1.058,1.016,5.45,36.04,6.4,32.0,60,70.0,,Specific Gravity,All Grain,,18.0,1.034
1012,17.0,15.3104,3.51186,6.39,65.95,4.6,19.0,70,65.0,,Plato,Partial Mash,0.75,22.0,1.038
1013,25.0,1.0659999999999998,1.011,7.24,45.43,18.31,28.5,90,85.0,2.8,Specific Gravity,All Grain,,18.0,1.033
1014,20.82,1.06,1.013,6.16,53.33,9.31,28.39,60,77.0,1.5,Specific Gravity,All Grain,,,1.034
1015,20.82,1.0659999999999998,1.011,7.21,0.0,11.35,24.61,60,70.0,,Specific Gravity,All Grain,,,1.045
1016,23.0,1.0759999999999998,1.016,7.9,71.36,4.44,28.5,60,75.0,3.0,Specific Gravity,All Grain,1.25,20.0,1.024
1017,18.93,1.064,1.017,6.11,99.65,9.34,11.36,60,40.0,,Specific Gravity,extract,,18.89,1.048
1018,23.66,1.0590000000000002,1.013,5.97,44.76,7.95,28.39,90,70.0,1.5,Specific Gravity,All Grain,,20.0,1.075
1019,21.0,1.068,1.017,6.71,77.13,10.74,28.5,60,60.0,2.6,Specific Gravity,All Grain,,,1.039
1020,25.0,1.064,1.015,6.49,54.45,4.85,30.0,90,67.0,,Specific Gravity,BIAB,,20.0,1.026
1021,23.0,1.048,1.016,4.23,40.67,7.85,25.0,60,60.0,,Specific Gravity,All Grain,,19.0,1.032
1022,22.71,1.057,1.015,5.52,22.0,4.97,26.5,60,60.0,,Specific Gravity,BIAB,0.35,18.33,1.044
1023,20.82,1.056,1.01,6.12,39.15,5.96,26.5,75,85.0,1.5,Specific Gravity,All Grain,1.0,11.11,1.04
1024,41.64,1.07,1.013,7.5,73.92,5.42,49.21,60,82.0,1.44,Specific Gravity,All Grain,1.0,19.44,1.05
1025,18.93,1.06,1.013,6.22,14.37,7.63,13.25,60,35.0,,Specific Gravity,Partial Mash,0.35,26.67,1.045
1026,20.82,1.082,1.019,8.23,69.91,11.21,24.61,60,70.0,,Specific Gravity,All Grain,0.75,20.0,1.083
1027,18.93,1.065,1.018,6.12,57.72,39.85,28.39,60,63.0,,Specific Gravity,BIAB,0.75,,1.044
1028,20.82,1.05,1.012,5.03,39.26,19.29,15.14,60,65.0,,Specific Gravity,BIAB,0.35,22.78,1.042
1029,45.0,1.07,1.018,6.91,0.0,12.52,55.0,60,70.0,3.5,Specific Gravity,All Grain,,,1.05
1030,41.64,17.3473,3.21602,7.7,79.53,4.49,49.21,60,75.0,1.25,Plato,All Grain,0.5,20.0,1.062
1031,16.09,1.052,1.015,4.86,29.32,5.92,18.74,60,57.0,2.0,Specific Gravity,All Grain,1.0,14.44,1.044
1032,23.0,1.063,1.014,6.41,44.03,6.09,28.5,60,75.0,3.0,Specific Gravity,All Grain,,20.0,1.05
1033,10.41,1.068,1.017,6.66,22.2,22.59,14.2,90,60.0,,Specific Gravity,BIAB,0.35,20.0,9.7
1034,18.93,1.074,1.021,6.92,56.98,7.34,26.5,75,70.0,,Specific Gravity,BIAB,0.5,28.89,1.039
1035,39.75,1.189,1.038,19.85,165.28,6.79,47.32,120,80.0,,Specific Gravity,All Grain,1.0,,1.046
1036,20.82,1.053,1.013,5.2,20.15,4.47,26.5,60,65.0,1.5,Specific Gravity,All Grain,,20.0,1.067
1037,19.68,1.065,1.023,5.51,60.15,50.0,26.5,75,63.0,1.3,Specific Gravity,All Grain,1.25,22.22,1.037
1038,200.0,1.056,1.011,5.86,44.52,11.9,240.0,90,85.0,3.0,Specific Gravity,All Grain,0.5,21.0,1.051
1039,18.93,1.078,1.019,7.66,82.13,9.1,26.5,60,75.0,1.25,Specific Gravity,All Grain,,,1.048
1040,20.8,1.041,1.01,3.99,0.0,3.04,28.4,60,70.0,3.1,Specific Gravity,All Grain,,,1.055
1041,18.93,1.06,1.015,5.89,52.13,7.97,26.5,60,60.0,,Specific Gravity,All Grain,0.5,21.11,1.062
1042,18.93,1.056,1.013,5.6,30.5,8.24,24.61,60,35.0,,Specific Gravity,extract,0.75,20.0,1.058
1043,20.82,1.0590000000000002,1.007,6.82,87.77,4.19,28.39,60,70.0,1.25,Specific Gravity,All Grain,,21.11,1.045
1044,38.0,1.0490000000000002,1.011,5.01,31.02,7.41,46.0,60,70.0,3.0,Specific Gravity,All Grain,0.75,21.0,1.043
1045,37.85,1.0590000000000002,1.014,5.88,30.52,13.82,48.07,60,80.0,,Specific Gravity,All Grain,,,1.0490000000000002
1046,16.0,1.038,1.004,4.54,20.09,5.4,18.0,90,65.0,,Specific Gravity,Partial Mash,,27.0,1.047
1047,23.0,1.0590000000000002,1.012,6.08,47.26,7.86,30.0,60,68.0,,Specific Gravity,All Grain,1.0,18.0,1.061
1048,20.82,1.0590000000000002,1.015,5.79,72.45,8.96,29.34,60,75.0,,Specific Gravity,BIAB,,,1.0490000000000002
1049,21.0,1.07,1.013,7.51,0.0,10.82,11.0,60,35.0,,Specific Gravity,extract,,,1.05
1050,20.82,1.083,1.019,8.53,114.0,7.6,28.39,60,70.0,1.29,Specific Gravity,All Grain,0.35,20.56,1.052
1051,11.36,1.091,1.022,9.12,42.72,21.47,17.03,60,72.0,1.25,Specific Gravity,All Grain,1.0,20.0,1.052
1052,20.82,1.091,1.021,9.18,112.91,14.31,20.82,60,35.0,,Specific Gravity,extract,0.35,20.56,1.065
1053,22.71,1.056,1.013,5.67,28.27,13.99,28.39,60,72.0,1.4,Specific Gravity,All Grain,1.0,20.0,11.6
1054,20.82,1.08,1.022,7.55,98.59,8.54,15.14,60,75.0,,Specific Gravity,Partial Mash,0.75,21.11,1.0490000000000002
1055,40.0,1.05,1.012,5.02,23.99,6.59,48.0,60,70.0,,Specific Gravity,All Grain,0.75,20.0,1.0490000000000002
1056,14.2,1.05,1.008,5.46,46.81,7.62,17.5,90,80.0,3.5,Specific Gravity,All Grain,,19.0,1.019
1057,11.36,1.064,1.016,6.28,40.53,7.4,17.03,60,65.0,,Specific Gravity,BIAB,0.5,21.11,1.029
1058,25.0,1.051,1.013,5.07,20.55,4.77,27.0,60,70.0,3.0,Specific Gravity,All Grain,,19.0,1.054
1059,11.5,1.0659999999999998,1.013,7.06,86.76,5.55,11.5,60,35.0,,Specific Gravity,extract,,,1.064
1060,20.82,1.057,1.014,5.63,27.59,6.55,28.39,60,70.0,,Specific Gravity,All Grain,,,1.004
1061,22.0,1.05,1.011,5.15,44.57,6.01,26.0,60,73.0,,Specific Gravity,BIAB,,20.0,1.047
1062,19.87,1.062,1.006,7.3,64.78,4.41,20.82,90,63.0,,Specific Gravity,All Grain,,,1.075
1063,18.93,1.038,1.007,4.17,16.73,2.41,11.36,60,35.0,,Specific Gravity,extract,0.5,12.78,1.106
1064,22.0,1.045,1.011,4.42,29.85,4.85,28.0,90,79.0,,Specific Gravity,All Grain,,,1.039
1065,20.82,1.057,1.013,5.68,8.86,26.51,28.39,60,70.0,1.5,Specific Gravity,All Grain,,18.33,1.058
1066,7.57,1.081,1.02,8.01,16.59,7.04,11.36,60,75.0,1.5,Specific Gravity,All Grain,,,1.054
1067,18.93,1.063,1.019,5.87,70.81,10.49,20.82,60,65.0,,Specific Gravity,extract,,20.0,1.051
1068,20.82,1.064,1.017,6.12,26.12,8.19,24.61,60,70.0,2.4,Specific Gravity,All Grain,,20.0,1.039
1069,37.85,1.05,1.014,4.66,15.24,3.49,45.42,60,65.0,1.5,Specific Gravity,All Grain,0.5,21.11,1.027
1070,15.0,1.064,1.011,7.03,74.06,9.2,18.0,60,77.0,,Specific Gravity,BIAB,0.75,18.0,1.047
1071,18.0,1.0490000000000002,1.013,4.73,37.34,4.84,8.0,60,35.0,,Specific Gravity,extract,0.35,20.0,1.047
1072,23.0,1.077,1.021,7.25,57.28,9.43,31.0,60,70.0,3.0,Specific Gravity,All Grain,,20.0,1.056
1073,24.61,1.054,1.01,5.72,95.53,13.08,15.14,60,35.0,,Specific Gravity,extract,1.0,21.11,1.044
1074,20.82,1.057,1.014,5.7,60.94,6.83,28.39,60,70.0,1.33,Specific Gravity,All Grain,,20.0,1.035
1075,20.82,1.05,1.009,5.29,14.53,5.18,30.28,60,80.0,,Specific Gravity,BIAB,,,1.039
1076,22.71,1.069,1.017,6.75,58.76,40.0,29.34,90,70.0,,Specific Gravity,All Grain,,,1.037
1077,45.42,1.0759999999999998,1.019,7.49,47.95,41.87,39.75,60,80.0,1.3,Specific Gravity,All Grain,,,1.1
1078,20.82,1.05,1.013,4.96,26.88,7.97,11.36,60,35.0,,Specific Gravity,extract,0.35,16.67,1.051
1079,22.71,1.05,1.008,5.58,21.13,18.42,28.39,90,74.0,3.21,Specific Gravity,All Grain,,20.0,1.081
1080,20.82,1.048,1.012,4.73,25.68,5.19,26.5,60,70.0,1.5,Specific Gravity,All Grain,0.75,18.89,1.054
1081,41.64,1.081,1.016,8.58,71.33,20.09,46.75,60,75.0,,Specific Gravity,All Grain,,19.44,1.051
1082,20.82,1.058,1.01,6.25,64.44,12.98,24.61,60,70.0,1.5,Specific Gravity,All Grain,,21.11,1.041
1083,20.0,1.06,1.01,6.55,84.46,3.8,25.0,60,75.0,3.5,Specific Gravity,All Grain,0.75,19.0,1.2661630837657525
1084,20.06,1.0590000000000002,1.011,6.23,116.98,4.47,26.5,60,85.0,,Specific Gravity,extract,,14.44,1.071
1085,14.28,1.0759999999999998,1.018,7.52,68.92,7.28,17.0,60,74.0,3.1,Specific Gravity,All Grain,0.35,21.0,1.053
1086,70.0,1.047,1.008,5.14,21.37,7.53,80.0,60,75.0,2.5,Specific Gravity,All Grain,,20.0,1.017
1087,19.68,1.065,1.012,7.0,74.37,7.63,27.25,60,75.0,,Specific Gravity,All Grain,0.35,20.0,1.054
1088,18.93,1.044,1.011,4.33,40.59,33.01,26.5,60,70.0,1.25,Specific Gravity,All Grain,0.5,20.0,1.047
1089,20.82,1.058,1.013,5.98,20.99,14.52,28.39,60,70.0,,Specific Gravity,BIAB,0.35,18.33,1.032
1090,5.3,1.077,1.024,6.98,89.76,7.22,6.06,30,70.0,,Specific Gravity,BIAB,1.25,,1.111
1091,18.93,1.054,1.01,5.71,27.01,3.73,28.39,60,85.0,1.5,Specific Gravity,All Grain,,20.0,1.058
1092,18.0,1.054,1.01,5.7,22.41,16.94,28.5,60,70.0,3.0,Specific Gravity,All Grain,,18.0,1.046
1093,12.3,1.051,1.009,5.6,24.86,3.4,16.09,60,75.0,,Specific Gravity,BIAB,,,1.065
1094,37.85,1.063,1.014,6.42,22.35,3.93,45.42,60,70.0,1.5,Specific Gravity,All Grain,,21.11,1.039
1095,30.0,1.053,1.011,5.47,34.0,5.97,30.0,90,65.0,,Specific Gravity,BIAB,,25.0,1.043
1096,23.0,1.051,1.012,5.16,9.06,6.15,25.0,60,80.0,3.0,Specific Gravity,All Grain,,,1.046
1097,41.64,1.054,1.013,5.43,45.59,21.0,53.0,60,71.0,1.5,Specific Gravity,All Grain,,17.78,1.046
1098,20.82,1.065,1.018,6.12,53.19,10.43,28.39,60,75.0,1.4,Specific Gravity,All Grain,,21.11,1.051
1099,50.0,1.043,1.01,4.33,41.55,3.95,60.0,90,80.0,3.1,Specific Gravity,All Grain,,20.0,1.038
1100,20.82,1.077,1.013,8.46,68.25,6.8,30.28,60,79.0,1.3,Specific Gravity,All Grain,0.75,,1.051
1101,34.07,1.061,1.015,6.0,8.98,17.97,41.64,60,70.0,1.25,Specific Gravity,All Grain,,,1.035
1102,16.0,1.047,1.008,5.02,28.93,18.68,28.5,40,75.0,,Specific Gravity,BIAB,,,1.051
1103,18.93,1.09,1.027,8.35,65.93,8.85,28.39,90,70.0,1.25,Specific Gravity,All Grain,,20.0,1.05
1104,12.0,1.073,1.015,7.7,76.38,6.37,15.0,60,70.0,,Specific Gravity,BIAB,,20.0,1.056
1105,19.0,1.068,1.013,7.14,64.32,9.42,25.0,60,60.0,,Specific Gravity,All Grain,0.75,20.0,1.06
1106,18.93,1.062,1.014,6.31,65.92,6.71,22.71,60,70.0,1.25,Specific Gravity,All Grain,1.0,20.0,1.057
1107,20.0,1.056,1.01,6.07,62.19,34.78,30.0,60,60.0,3.0,Specific Gravity,All Grain,,20.0,1.037
