Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,Style,BoilGravityMod,PrimaryTempMod
3837,20.82,1.052,1.012,5.25,23.79,14.25,28.39,60,70.0,1.5,Specific Gravity,All Grain,0.35,Irish Red Ale,1.035,20.0
3838,42.02,1.061,1.011,6.61,29.96,6.04,52.62,60,80.0,1.25,Specific Gravity,All Grain,0.75,American Pale Ale,1.0490000000000002,20.0
3839,22.71,1.047,1.008,5.06,21.11,13.77,15.14,60,70.0,,Specific Gravity,Partial Mash,,American Amber Ale,1.07,19.650700308959838
3840,24.61,1.055,1.013,5.58,40.12,8.0,29.34,70,79.0,,Specific Gravity,All Grain,1.0,American Pale Ale,1.047,19.508305489260145
3841,20.82,1.044,1.01,4.53,20.99,4.32,28.39,60,75.0,,Specific Gravity,BIAB,,Witbier,1.032,20.435561694290975
3842,50.0,1.052,1.011,5.33,25.67,3.19,53.0,60,70.0,3.0,Specific Gravity,All Grain,0.75,Witbier,1.0490000000000002,17.0
3843,37.85,17.0281,1.97165,8.16,65.42,8.86,45.42,75,79.5,1.5,Plato,All Grain,,Imperial IPA,14.3,21.11
3844,20.82,1.05,1.013,4.94,23.81,4.26,24.98,60,65.0,1.25,Specific Gravity,All Grain,,American Pale Ale,1.042,19.508305489260145
3845,18.93,1.06,1.014,6.1,36.57,6.9,22.71,60,70.0,1.25,Specific Gravity,All Grain,,American IPA,1.05,19.576690909090907
3846,18.93,1.053,1.01,5.62,43.22,6.63,11.36,60,35.0,,Specific Gravity,extract,0.35,American Pale Ale,1.088,20.0
3847,60.0,1.069,1.017,6.8,52.18,7.99,76.0,60,70.0,2.5,Specific Gravity,All Grain,0.5,American IPA,1.055,20.0
3848,22.71,1.0659999999999998,1.015,6.59,87.94,6.26,28.39,60,70.0,1.25,Specific Gravity,All Grain,1.0,American IPA,1.053,20.56
3849,20.82,1.043,1.011,4.2,55.08,16.77,28.39,60,65.0,1.5,Specific Gravity,All Grain,,American IPA,1.031,19.576690909090907
3850,37.85,1.058,1.014,5.7,121.73,5.65,49.21,75,64.0,1.5,Specific Gravity,All Grain,0.35,American IPA,1.045,19.576690909090907
3851,20.82,1.046,1.009,4.81,63.55,7.83,26.5,60,75.0,,Specific Gravity,BIAB,,American Pale Ale,1.036,17.78
3852,20.0,1.0659999999999998,1.015,6.6,36.85,6.96,26.0,60,70.0,3.0,Specific Gravity,All Grain,,American Pale Ale,1.051,20.0
3853,43.53,11.5523,2.58362,4.78,23.61,3.76,51.1,60,85.0,1.33,Plato,All Grain,,American Pale Ale,9.9,16.67
3854,18.93,1.0590000000000002,1.013,6.05,55.37,10.1,22.71,60,70.0,1.25,Specific Gravity,All Grain,0.75,American Pale Ale,1.0490000000000002,20.0
3855,7.0,1.051,1.013,4.98,19.52,3.97,11.0,60,70.0,3.0,Specific Gravity,All Grain,,Witbier,1.032,20.435561694290975
3856,20.82,1.055,1.013,5.54,31.22,8.79,22.71,60,21.0,,Specific Gravity,extract,1.0,American Pale Ale,1.023,20.0
3857,27.0,1.05,1.015,4.72,36.85,3.89,31.0,90,75.0,,Specific Gravity,All Grain,,American IPA,1.044,19.576690909090907
3858,23.0,1.088,1.024,8.39,83.7,9.14,27.0,60,75.0,2.78,Specific Gravity,All Grain,0.75,American IPA,1.075,68.0
3859,26.0,1.057,1.012,5.87,63.64,4.27,29.5,60,61.2,3.0,Specific Gravity,All Grain,,American IPA,1.05,20.0
3860,21.8,1.0759999999999998,1.021,7.72,87.65,4.62,24.0,60,70.0,3.1,Specific Gravity,All Grain,,Imperial IPA,1.069,20.0
3861,40.0,1.056,1.006,6.56,34.18,3.62,54.0,60,70.0,3.0,Specific Gravity,All Grain,0.35,Saison,1.041,19.0
3862,11.0,1.047,1.012,4.53,18.65,3.43,10.0,60,50.0,,Specific Gravity,extract,,Witbier,1.2353589385474861,24.0
3863,45.42,15.8216,4.11872,6.65,93.72,7.3,45.42,60,80.0,,Plato,All Grain,,American IPA,15.8,19.576690909090907
3864,30.0,1.047,1.012,4.62,24.87,6.0,35.0,60,77.0,,Specific Gravity,BIAB,,American Pale Ale,1.041,19.0
3865,20.82,1.083,1.021,8.18,113.06,7.34,28.39,60,75.0,,Specific Gravity,All Grain,0.35,American IPA,1.061,18.33
3866,15.0,1.052,1.009,5.7,53.77,10.27,18.0,60,65.0,2.75,Specific Gravity,All Grain,,American Pale Ale,1.043,19.508305489260145
3867,20.82,1.065,1.014,6.7,20.07,7.58,28.39,90,70.0,1.5,Specific Gravity,All Grain,0.5,Saison,1.048,27.78
3868,23.0,1.048,1.012,4.77,37.93,23.09,25.7,65,78.0,5.0,Specific Gravity,All Grain,0.5,American Brown Ale,1.043,17.0
3869,18.93,1.077,1.029,6.3,42.86,6.29,18.93,60,70.0,,Specific Gravity,BIAB,0.35,American IPA,1.077,20.0
3870,50.0,1.044,1.008,4.76,27.67,15.47,85.0,60,72.0,3.0,Specific Gravity,All Grain,,Irish Red Ale,1.026,18.0
3871,20.82,1.041,1.01,4.01,0.0,3.86,28.39,60,70.0,,Specific Gravity,All Grain,,American Light Lager,1.03,18.723183391003463
3872,14.0,1.065,1.012,7.02,64.24,13.64,18.5,60,60.0,2.5,Specific Gravity,All Grain,,American IPA,1.0490000000000002,20.0
3873,20.82,1.051,1.009,5.55,67.32,7.51,24.61,60,70.0,,Specific Gravity,BIAB,0.35,American IPA,1.044,18.33
3874,20.82,1.037,1.009,3.61,37.57,7.26,24.61,60,35.0,,Specific Gravity,extract,,American Light Lager,1.031,18.723183391003463
3875,20.0,1.05,1.011,5.23,27.64,5.46,28.0,60,70.0,3.5,Specific Gravity,All Grain,0.75,Blonde Ale,1.036,18.0
3876,20.82,1.058,1.014,5.71,64.17,13.67,30.28,60,70.0,,Specific Gravity,BIAB,0.75,American IPA,1.04,18.33
3877,23.0,1.065,1.013,6.84,87.08,8.04,28.0,60,75.0,2.7,Specific Gravity,All Grain,0.75,American IPA,1.053,19.0
3878,19.87,1.058,1.015,5.73,56.76,6.03,24.61,90,80.0,1.5,Specific Gravity,All Grain,,American IPA,1.047,19.576690909090907
3879,9.5,1.0490000000000002,1.012,4.8,46.07,4.71,12.0,60,76.0,,Specific Gravity,BIAB,,American Pale Ale,1.039,19.508305489260145
3880,21.0,1.057,1.011,6.08,56.33,10.05,12.0,60,50.0,,Specific Gravity,extract,0.5,American IPA,1.045,19.0
3881,18.93,1.052,1.013,5.01,60.9,50.0,28.39,60,35.0,0.9,Specific Gravity,All Grain,0.75,American Stout,1.034,18.89
3882,340.69,1.048,1.012,4.75,17.69,5.05,416.4,90,78.0,1.35,Specific Gravity,All Grain,1.0,Saison,1.039,22.22
3883,41.64,1.054,1.013,5.44,35.41,6.57,49.21,90,70.0,1.5,Specific Gravity,All Grain,0.35,American Pale Ale,1.046,18.33
3884,20.82,1.0490000000000002,1.009,5.18,45.06,10.48,22.71,60,35.0,,Specific Gravity,extract,0.35,American Amber Ale,1.045,20.0
3885,23.66,1.06,1.01,6.59,103.7,10.23,29.34,60,70.0,1.33,Specific Gravity,All Grain,1.0,American IPA,1.0490000000000002,16.67
3886,25.0,1.069,1.011,7.57,76.29,7.09,32.0,90,80.0,3.0,Specific Gravity,All Grain,1.0,American IPA,1.054,18.0
3887,18.9,1.048,1.012,4.71,0.0,5.46,11.0,60,35.0,,Specific Gravity,extract,,American Pale Ale,1.082,19.508305489260145
3888,58.0,1.04,1.009,4.13,41.83,9.6,66.0,60,75.0,3.0,Specific Gravity,All Grain,,American Pale Ale,1.035,19.0
3889,60.0,1.065,1.011,7.14,58.82,6.72,67.0,90,75.0,3.4,Specific Gravity,All Grain,,American IPA,1.058,18.0
3890,24.61,1.056,1.012,5.82,43.78,4.74,32.18,60,74.0,,Specific Gravity,BIAB,0.5,American IPA,1.043,25.56
3891,37.85,1.055,1.012,5.72,25.97,22.12,41.64,60,18.5,,Specific Gravity,extract,0.5,Irish Red Ale,1.047,20.0
3892,30.0,1.05,1.01,5.36,17.56,5.32,35.0,60,70.0,3.0,Specific Gravity,All Grain,0.5,American IPA,1.043,18.0
3893,20.82,1.056,1.013,5.68,37.44,9.36,28.39,60,75.0,1.5,Specific Gravity,All Grain,,American Pale Ale,1.041,19.508305489260145
3894,21.0,1.05,1.014,4.73,38.82,6.84,11.0,60,35.0,,Specific Gravity,extract,,American Light Lager,1.096,18.0
3895,22.71,1.068,1.017,6.73,70.29,5.91,30.28,60,60.0,1.25,Specific Gravity,All Grain,0.75,American IPA,1.051,18.89
3896,27.0,1.053,1.011,5.6,64.51,7.53,28.0,45,80.0,,Specific Gravity,BIAB,0.75,American IPA,1.051,19.0
3897,20.82,1.043,1.008,4.67,59.72,32.73,28.39,60,70.0,1.5,Specific Gravity,All Grain,0.5,American Stout,1.032,20.0
3898,16.0,1.054,1.018,4.66,45.03,6.67,16.0,60,35.0,,Specific Gravity,extract,,American Pale Ale,1.054,19.508305489260145
3899,3.79,1.0659999999999998,1.012,7.08,34.22,5.27,4.73,60,75.0,,Specific Gravity,Partial Mash,0.35,American IPA,1.052,21.11
3900,20.82,1.057,1.014,5.72,35.48,6.85,28.39,60,70.0,1.5,Specific Gravity,All Grain,0.35,American Pale Ale,1.042,20.0
3901,9.0,1.069,1.015,7.13,67.19,30.94,9.0,60,30.0,,Specific Gravity,Partial Mash,0.75,Blonde Ale,1.069,26.0
3902,22.71,1.045,1.011,4.48,57.31,3.86,22.71,75,70.0,,Specific Gravity,Partial Mash,,Saison,1.045,23.89
3903,20.82,1.101,1.034,8.87,21.52,19.99,28.39,90,70.0,1.5,Specific Gravity,All Grain,,Irish Red Ale,1.074,18.33
3904,18.93,1.036,1.007,3.76,10.76,2.47,20.82,60,73.0,3.0,Specific Gravity,All Grain,1.5,American Light Lager,1.032,12.78
3905,18.93,1.051,1.013,4.98,27.29,4.42,20.82,60,75.0,1.25,Specific Gravity,All Grain,,Blonde Ale,1.046,19.237696693272518
3906,38.0,1.047,1.009,5.01,73.23,7.76,42.0,60,75.0,2.0,Specific Gravity,All Grain,,American IPA,1.043,19.0
3907,20.82,1.0659999999999998,1.013,6.99,57.98,9.65,24.61,60,75.0,1.5,Specific Gravity,All Grain,1.0,American IPA,1.052,18.89
3908,20.82,1.053,1.012,5.34,28.27,5.61,11.36,60,35.0,,Specific Gravity,extract,,American Pale Ale,1.098,21.11
3909,5.4,1.055,1.01,5.89,41.43,4.26,6.4,60,70.0,,Specific Gravity,BIAB,0.5,American Pale Ale,1.046,20.0
3910,37.85,1.063,1.016,6.25,18.93,5.55,49.21,60,70.0,1.25,Specific Gravity,All Grain,,American Pale Ale,1.0490000000000002,19.508305489260145
3911,500.0,1.045,1.008,4.83,7.74,4.06,600.0,60,57.0,3.1,Specific Gravity,All Grain,,American Light Lager,1.037,30.0
3912,17.98,1.058,1.014,5.81,71.42,15.56,22.71,90,35.0,,Specific Gravity,extract,0.5,American Amber Ale,1.046,20.0
3913,18.93,1.0659999999999998,1.015,6.74,57.83,8.56,28.39,60,65.0,1.5,Specific Gravity,All Grain,,American IPA,1.044,19.576690909090907
3914,20.82,1.071,1.017,7.05,41.27,39.44,28.39,60,75.0,,Specific Gravity,BIAB,,American Stout,1.052,22.22
3915,19.31,1.0490000000000002,1.012,4.89,12.06,4.07,24.61,70,65.0,1.75,Specific Gravity,All Grain,0.35,Witbier,1.039,20.56
3916,18.93,1.005,1.001,0.5,0.0,0.74,26.5,60,70.0,1.5,Specific Gravity,All Grain,0.5,American Light Lager,1.004,18.723183391003463
3917,20.0,1.055,1.011,5.8,51.97,10.97,25.0,70,73.0,,Specific Gravity,BIAB,1.0,American IPA,1.044,21.0
3918,18.93,1.071,1.018,6.89,74.24,12.63,30.28,60,70.0,,Specific Gravity,BIAB,0.5,American Amber Ale,1.044,20.0
3919,19.68,1.053,1.014,5.11,22.68,7.13,24.61,60,60.0,1.4,Specific Gravity,All Grain,,American Pale Ale,1.042,19.508305489260145
3920,18.93,1.056,1.013,5.55,66.26,5.07,30.28,60,65.0,,Specific Gravity,BIAB,0.35,American IPA,1.035,18.33
3921,18.93,1.068,1.014,7.13,100.08,10.09,24.61,60,75.0,,Specific Gravity,All Grain,,American IPA,1.3408930163447252,19.576690909090907
3922,22.71,1.099,1.008,11.93,223.07,5.58,37.85,90,57.0,1.2,Specific Gravity,All Grain,1.25,Imperial IPA,1.046,18.89
3923,18.93,1.05,1.011,5.11,0.0,2.23,26.5,60,60.0,1.5,Specific Gravity,All Grain,,American Light Lager,1.036,18.723183391003463
3924,25.0,1.054,1.009,5.9,55.22,7.59,29.0,60,68.0,,Specific Gravity,BIAB,,American IPA,1.047,18.0
3925,11.36,1.063,1.011,6.83,36.44,8.87,17.03,60,72.0,,Specific Gravity,BIAB,,American Light Lager,1.042,18.723183391003463
3926,20.82,1.062,1.016,6.13,55.83,8.76,28.39,60,75.0,1.0,Specific Gravity,All Grain,,American IPA,1.046,17.78
3927,22.71,1.071,1.01,8.08,77.46,4.19,26.5,60,77.0,,Specific Gravity,BIAB,0.5,American IPA,1.061,18.33
3928,37.85,1.058,1.015,5.59,25.46,13.18,45.42,60,70.0,,Specific Gravity,BIAB,0.5,American Light Lager,1.048,18.33
3929,20.82,1.072,1.014,7.59,186.53,9.3,25.55,45,73.0,,Specific Gravity,BIAB,,American IPA,1.0590000000000002,20.0
3930,20.82,1.071,1.014,7.51,156.63,6.56,28.39,90,75.0,1.5,Specific Gravity,All Grain,1.25,Imperial IPA,1.052,20.0
3931,25.0,1.0490000000000002,1.009,5.35,18.88,5.16,25.0,60,70.0,2.1,Specific Gravity,All Grain,,Witbier,1.0490000000000002,23.0
3932,41.64,1.083,1.015,8.98,50.54,6.61,49.21,60,75.0,1.5,Specific Gravity,All Grain,,American IPA,1.07,20.0
3933,18.93,1.067,1.015,6.89,70.59,13.3,22.71,60,70.0,1.25,Specific Gravity,All Grain,,American IPA,1.056,19.576690909090907
3934,19.68,1.057,1.017,5.19,20.46,7.08,24.61,60,68.0,1.4,Specific Gravity,All Grain,,Blonde Ale,1.045,19.237696693272518
3935,18.93,1.078,1.02,7.69,111.61,36.83,11.36,60,35.0,,Specific Gravity,extract,0.35,American Stout,1.13,21.11
3936,41.64,1.064,1.012,6.87,50.21,5.14,49.21,90,77.0,1.2,Specific Gravity,All Grain,0.35,Saison,1.054,20.0
3937,18.93,1.054,1.011,5.6,42.14,15.97,24.61,60,70.0,,Specific Gravity,All Grain,,American Amber Ale,1.041,19.44
3938,22.7,1.057,1.015,5.55,65.25,7.42,26.5,60,70.0,,Specific Gravity,BIAB,,American IPA,1.0490000000000002,20.0
3939,41.64,1.0659999999999998,1.017,6.51,0.0,10.11,51.1,90,65.0,1.5,Specific Gravity,All Grain,,American IPA,1.054,19.576690909090907
3940,21.77,1.077,1.015,8.11,79.28,7.2,35.96,75,66.0,1.2,Specific Gravity,All Grain,2.0,Imperial IPA,1.042,18.33
3941,19.49,1.06,1.016,5.83,58.89,22.78,17.03,60,35.0,,Specific Gravity,Partial Mash,0.35,American Pale Ale,1.069,17.78
3942,41.64,1.073,1.018,7.21,111.35,8.23,53.0,90,70.0,1.5,Specific Gravity,All Grain,,American IPA,1.057,20.0
3943,31.0,1.053,1.013,5.26,11.8,4.06,33.0,60,71.0,,Specific Gravity,All Grain,0.75,Witbier,1.05,20.0
3944,20.82,1.053,1.013,5.26,0.0,8.31,18.93,70,75.0,,Specific Gravity,Partial Mash,,American Pale Ale,1.3286333398552141,19.508305489260145
3945,37.85,1.063,1.016,6.21,64.65,3.91,47.58,60,70.0,1.5,Specific Gravity,All Grain,,American Light Lager,1.05,18.723183391003463
3946,64.35,1.05,1.01,5.28,18.85,6.02,75.71,60,70.0,1.25,Specific Gravity,All Grain,,Blonde Ale,1.043,19.237696693272518
3947,23.66,1.063,1.011,6.88,67.25,9.47,26.5,60,35.0,,Specific Gravity,extract,0.75,American IPA,1.056,20.0
3948,18.93,1.046,1.012,4.38,35.74,5.79,26.5,60,62.0,1.5,Specific Gravity,All Grain,0.75,American Light Lager,1.033,18.723183391003463
3949,25.0,1.06,1.012,6.25,57.34,6.71,28.5,60,61.0,3.0,Specific Gravity,All Grain,,American IPA,1.053,20.0
3950,19.0,1.053,1.011,5.45,34.15,4.47,26.0,60,70.0,2.5,Specific Gravity,All Grain,,American Light Lager,1.039,18.723183391003463
3951,21.0,1.065,1.014,6.65,65.32,6.56,21.0,60,60.0,,Specific Gravity,Partial Mash,,American IPA,1.065,17.0
3952,23.0,1.064,1.018,6.05,44.25,8.15,30.0,60,70.0,,Specific Gravity,All Grain,,American IPA,1.0490000000000002,19.576690909090907
3953,21.0,1.051,1.012,5.1,31.3,7.21,28.5,60,60.0,3.0,Specific Gravity,All Grain,,American Pale Ale,1.037,20.0
3954,35.0,1.069,1.019,6.54,45.74,5.21,38.0,70,65.0,,Specific Gravity,BIAB,0.75,American IPA,1.064,18.0
3955,21.0,1.031,1.008,3.04,0.0,4.05,28.5,60,35.0,3.0,Specific Gravity,All Grain,,American Light Lager,1.023,18.723183391003463
3956,20.82,1.053,1.012,5.37,41.71,6.64,11.36,60,75.0,,Specific Gravity,Partial Mash,0.75,American Pale Ale,1.097,18.33
3957,20.82,1.06,1.016,5.77,32.32,18.87,28.39,60,80.0,,Specific Gravity,All Grain,,Irish Red Ale,1.044,21.11
3958,18.93,1.048,1.009,5.09,22.16,4.7,22.71,60,79.0,,Specific Gravity,Partial Mash,0.75,Blonde Ale,1.04,19.44
3959,18.93,1.061,1.016,5.93,85.27,4.66,24.61,60,70.0,2.7,Specific Gravity,All Grain,0.35,American IPA,1.047,22.22
3960,20.0,1.0759999999999998,1.013,8.31,43.84,21.45,19.0,60,60.0,,Specific Gravity,All Grain,,Imperial IPA,1.08,19.67822751322751
3961,21.0,1.054,1.01,5.75,41.11,32.5,27.0,60,75.0,,Specific Gravity,BIAB,,American Brown Ale,1.042,13.0
3962,20.0,1.065,1.013,6.85,71.86,6.89,24.0,90,74.0,,Specific Gravity,All Grain,1.0,American IPA,1.054,18.0
3963,18.93,1.042,1.007,4.55,61.21,5.72,35.0,60,70.0,2.2,Specific Gravity,All Grain,0.5,American Pale Ale,1.023,19.0
3964,20.82,1.0590000000000002,1.011,6.39,33.59,5.45,11.36,60,90.0,,Specific Gravity,Partial Mash,1.0,Saison,1.109,20.0
3965,20.82,1.063,1.011,6.75,41.88,4.13,30.28,60,75.0,2.08,Specific Gravity,All Grain,,American Pale Ale,1.043,18.33
3966,37.85,1.054,1.01,5.73,54.05,7.78,45.42,60,70.0,,Specific Gravity,All Grain,,American IPA,1.045,19.576690909090907
3967,12.0,1.054,1.012,5.44,27.28,21.2,26.0,60,70.0,14.0,Specific Gravity,All Grain,0.35,Irish Red Ale,1.025,20.0
3968,37.85,1.088,1.021,8.79,147.85,10.11,50.95,90,65.0,1.5,Specific Gravity,All Grain,0.5,Imperial IPA,1.065,22.22
3969,18.93,1.089,1.021,8.87,142.11,11.69,15.14,60,55.0,,Specific Gravity,All Grain,,Imperial IPA,1.111,19.67822751322751
3970,30.0,1.044,1.005,5.17,30.35,8.59,30.0,60,77.0,5.0,Specific Gravity,All Grain,0.5,Saison,1.044,30.0
3971,20.82,1.063,1.011,6.77,42.18,10.13,28.39,60,70.0,,Specific Gravity,BIAB,0.75,American IPA,1.046,19.44
3972,27.0,1.051,1.012,5.24,38.93,6.87,28.0,40,80.0,,Specific Gravity,BIAB,0.75,American Pale Ale,1.0490000000000002,19.0
3973,20.82,1.058,1.011,6.11,59.68,4.86,28.39,60,70.0,1.5,Specific Gravity,All Grain,0.75,American Pale Ale,1.042,17.78
3974,20.82,1.054,1.013,5.44,48.04,13.06,24.61,60,70.0,1.25,Specific Gravity,All Grain,1.0,American Pale Ale,1.046,18.89
3975,18.93,1.057,1.015,5.53,15.59,14.35,28.39,60,70.0,1.25,Specific Gravity,All Grain,,Irish Red Ale,1.038,20.0
3976,20.82,1.069,1.017,6.82,88.01,6.05,26.65,60,70.0,1.5,Specific Gravity,All Grain,1.0,American IPA,1.054,20.0
3977,20.0,1.048,1.012,4.73,11.49,3.25,25.0,90,69.0,,Specific Gravity,BIAB,,Witbier,1.039,19.0
3978,50.0,1.042,1.007,4.6,20.88,18.25,57.5,60,72.0,3.0,Specific Gravity,All Grain,0.75,Irish Red Ale,1.037,18.0
3979,23.09,1.045,1.011,4.42,35.34,6.0,28.39,60,70.0,1.4,Specific Gravity,All Grain,0.75,American Pale Ale,1.037,18.33
3980,17.0,1.071,1.026,5.83,19.33,40.0,20.0,60,66.0,,Specific Gravity,BIAB,0.5,American Stout,1.06,14.0
3981,20.82,1.051,1.012,5.06,42.03,5.42,28.39,60,90.0,1.5,Specific Gravity,All Grain,,Blonde Ale,1.037,19.237696693272518
3982,23.09,1.057,1.011,6.03,34.86,11.74,15.14,15,35.0,,Specific Gravity,extract,0.35,American IPA,1.032,21.11
3983,40.0,1.058,1.015,5.75,69.71,7.6,60.0,70,75.0,3.0,Specific Gravity,All Grain,,American IPA,1.039,19.576690909090907
3984,300.0,1.056,1.011,5.99,50.41,6.72,220.0,60,80.0,3.0,Specific Gravity,All Grain,0.5,American Pale Ale,1.077,17.0
3985,20.82,1.064,1.018,6.1,22.83,27.81,28.39,75,70.0,1.4,Specific Gravity,All Grain,0.5,American Brown Ale,1.043,18.33
3986,13.25,1.094,1.023,9.25,44.07,35.88,13.25,75,65.0,,Specific Gravity,BIAB,1.0,American Brown Ale,1.094,20.0
3987,17.79,1.051,1.01,5.39,11.73,4.64,18.93,20,73.0,1.66,Specific Gravity,All Grain,,American Light Lager,1.048,20.0
3988,22.71,1.065,1.015,6.63,122.42,4.93,28.39,60,70.0,1.25,Specific Gravity,All Grain,,American IPA,1.052,19.576690909090907
3989,20.0,1.071,1.021,6.48,31.63,8.72,24.0,60,70.0,3.0,Specific Gravity,All Grain,,American Amber Ale,1.0590000000000002,18.0
3990,21.0,1.062,1.011,6.63,50.55,9.45,28.4,60,70.0,3.1,Specific Gravity,All Grain,,American IPA,1.046,16.0
3991,18.93,1.0759999999999998,1.015,8.03,86.32,19.6,22.71,60,75.0,,Specific Gravity,All Grain,,American Amber Ale,1.064,21.11
3992,18.93,1.064,1.018,6.03,63.47,11.31,11.36,60,35.0,,Specific Gravity,Partial Mash,,American IPA,1.106,23.33
3993,3.5,1.064,1.014,6.59,53.73,6.05,5.75,60,60.0,2.5,Specific Gravity,All Grain,0.35,American IPA,1.039,21.0
3994,25.0,1.064,1.011,6.99,48.73,4.76,28.0,60,70.0,,Specific Gravity,BIAB,,American Light Lager,1.057,18.0
3995,45.42,1.0590000000000002,1.015,5.8,0.0,24.49,47.32,60,70.0,1.5,Specific Gravity,All Grain,,American Brown Ale,1.057,19.499524680073122
3996,18.93,1.085,1.021,8.37,98.04,7.73,11.36,60,35.0,,Specific Gravity,extract,,American IPA,1.142,19.576690909090907
3997,41.64,1.053,1.017,4.68,90.94,36.19,47.32,60,35.0,,Specific Gravity,extract,,American IPA,1.046,20.0
3998,22.71,1.047,1.01,4.75,38.26,4.4,26.5,60,72.0,,Specific Gravity,BIAB,1.0,American IPA,1.04,19.576690909090907
3999,20.82,1.053,1.012,5.37,44.35,10.95,27.63,60,71.0,1.25,Specific Gravity,All Grain,,American IPA,1.04,19.576690909090907
4000,10.0,1.051,1.012,5.13,79.74,11.73,10.0,60,55.0,3.0,Specific Gravity,All Grain,0.35,American Pale Ale,1.051,20.0
4001,40.0,1.053,1.01,5.69,26.34,5.74,50.0,60,65.0,30.0,Specific Gravity,All Grain,0.35,Blonde Ale,1.042,17.0
4002,17.0,1.0590000000000002,1.013,6.08,54.54,28.56,23.0,60,75.0,,Specific Gravity,BIAB,,American IPA,1.044,19.576690909090907
4003,21.0,1.0590000000000002,1.018,5.43,35.42,17.0,28.5,60,72.0,,Specific Gravity,BIAB,0.5,American Amber Ale,1.044,20.0
4004,20.82,1.053,1.012,5.27,40.79,8.21,26.5,60,35.0,,Specific Gravity,extract,,American Pale Ale,1.041,20.0
4005,41.64,1.063,1.009,7.14,183.06,8.48,45.42,60,72.0,1.5,Specific Gravity,All Grain,,American IPA,1.058,18.89
4006,20.82,1.0659999999999998,1.013,6.89,43.6,7.52,26.5,60,68.0,1.5,Specific Gravity,All Grain,0.75,American IPA,1.052,19.576690909090907
4007,30.0,1.0490000000000002,1.014,4.65,17.14,24.02,30.0,90,72.0,,Specific Gravity,All Grain,,American Pale Ale,1.0490000000000002,19.508305489260145
4008,18.93,1.069,1.015,7.08,39.41,11.13,24.61,90,70.0,1.3,Specific Gravity,All Grain,1.0,American IPA,1.053,20.0
4009,23.0,1.0490000000000002,1.014,4.62,56.23,3.55,16.0,60,35.0,,Specific Gravity,extract,0.35,American Pale Ale,1.07,19.0
4010,41.64,1.0590000000000002,1.011,6.4,39.04,6.02,47.32,60,85.0,1.5,Specific Gravity,All Grain,0.35,American Pale Ale,1.052,20.0
4011,18.93,1.041,1.01,4.03,42.41,3.51,11.36,60,35.0,,Specific Gravity,extract,,American IPA,1.047,20.0
4012,19.0,1.047,1.008,5.0,50.18,10.42,22.5,60,60.0,,Specific Gravity,BIAB,0.5,American Pale Ale,1.039,19.0
4013,13.25,1.062,1.016,6.08,88.19,8.51,20.82,60,68.0,,Specific Gravity,BIAB,0.75,American IPA,1.04,20.0
4014,20.82,1.057,1.057,0.08,71.01,5.41,29.11,60,35.0,,Specific Gravity,extract,0.75,American IPA,1.041,21.11
4015,22.71,1.044,1.01,4.41,19.12,5.53,30.28,60,65.0,1.25,Specific Gravity,All Grain,,Blonde Ale,1.033,20.0
4016,56.78,1.102,1.025,10.02,0.0,55.71,74.71,60,70.0,,Specific Gravity,All Grain,,American Stout,1.3345481569560047,19.538883333333334
4017,40.0,1.061,1.012,6.51,81.17,42.04,49.0,90,69.0,3.0,Specific Gravity,All Grain,,American Stout,1.05,19.0
4018,18.93,1.034,1.008,3.46,40.12,6.67,26.5,60,75.0,,Specific Gravity,All Grain,1.0,Blonde Ale,1.024,16.11
4019,20.82,13.052,3.5274,5.12,51.56,4.06,24.23,60,70.0,1.25,Plato,All Grain,0.75,American Pale Ale,11.3,20.0
4020,8.0,1.051,1.012,5.07,18.06,3.48,10.0,60,75.0,4.0,Specific Gravity,All Grain,,Witbier,1.04,23.0
4021,19.0,1.052,1.009,5.6,20.55,4.68,28.5,60,65.0,2.5,Specific Gravity,All Grain,,Saison,1.035,23.0
4022,20.82,1.055,1.014,5.34,92.34,3.59,28.39,60,75.0,,Specific Gravity,All Grain,0.35,American IPA,1.04,18.33
4023,18.93,1.0490000000000002,1.013,4.61,17.92,14.15,26.5,60,50.0,,Specific Gravity,BIAB,,Irish Red Ale,1.035,20.56
4024,18.93,1.05,1.012,5.0,19.91,15.14,26.5,60,65.0,1.5,Specific Gravity,All Grain,,Irish Red Ale,1.036,20.0
4025,20.8,1.055,1.006,6.43,28.51,5.2,28.4,60,68.0,,Specific Gravity,All Grain,,Saison,1.04,22.0
4026,20.82,1.047,1.011,4.65,58.98,6.1,26.5,60,70.0,,Specific Gravity,BIAB,0.75,American IPA,1.037,16.67
4027,20.82,1.065,1.016,6.33,40.34,5.8,32.18,60,75.0,,Specific Gravity,BIAB,1.0,American IPA,1.042,18.89
4028,26.0,1.051,1.011,5.2,36.63,8.01,30.0,60,80.0,3.0,Specific Gravity,All Grain,1.0,American Pale Ale,1.044,19.0
4029,20.82,1.057,1.015,5.55,46.17,7.22,28.39,60,65.0,,Specific Gravity,All Grain,,American IPA,1.042,18.33
4030,586.74,14.7966,3.40517,6.16,45.21,22.7,586.74,90,80.0,,Plato,All Grain,,American Brown Ale,14.8,19.499524680073122
