,Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,Style,BoilGravityMod
7175,7175,22.71,1.0659999999999998,1.017,6.32,73.52,5.24,28.39,60,80.0,1.5,Specific Gravity,All Grain,,,American IPA,1.053
7176,7176,13.25,1.067,1.018,6.39,42.28,40.0,19.87,60,75.0,,Specific Gravity,BIAB,0.35,22.78,American Stout,1.045
7177,7177,20.82,1.064,1.018,5.93,106.21,5.24,11.36,60,35.0,,Specific Gravity,Partial Mash,0.35,21.67,American IPA,1.117
7178,7178,18.93,1.053,1.014,5.0,18.6,6.21,26.5,60,75.0,3.0,Specific Gravity,All Grain,,,Saison,1.038
7179,7179,18.93,1.062,1.016,6.12,0.0,12.43,23.13,60,67.0,,Specific Gravity,All Grain,,,American Amber Ale,1.046
7180,7180,16.0,1.048,1.011,4.91,39.38,5.5,23.0,90,70.0,,Specific Gravity,BIAB,,28.0,American Pale Ale,1.034
7181,7181,20.82,1.073,1.023,6.63,58.45,9.04,18.93,60,35.0,,Specific Gravity,extract,0.5,18.33,American IPA,1.081
7182,7182,20.82,1.052,1.015,4.94,21.09,21.66,11.36,60,35.0,,Specific Gravity,extract,0.35,21.11,American Brown Ale,1.096
7183,7183,10.0,12.8202,2.26811,5.64,40.62,8.06,14.0,60,75.0,,Plato,BIAB,0.35,18.0,American Pale Ale,9.3
7184,7184,23.0,1.05,1.009,5.28,23.08,5.72,27.0,60,70.0,,Specific Gravity,BIAB,1.0,20.0,Blonde Ale,1.042
7185,7185,41.64,1.0659999999999998,1.014,7.13,74.66,10.15,47.32,60,72.0,1.25,Specific Gravity,All Grain,0.5,18.33,American IPA,1.058
7186,7186,49.0,1.057,1.01,6.21,60.18,11.25,63.0,90,66.0,2.9,Specific Gravity,All Grain,0.35,18.0,American IPA,1.044
7187,7187,21.0,14.8785,3.53496,6.13,69.19,4.85,25.0,65,70.0,2.5,Plato,All Grain,0.75,15.0,American IPA,12.6
7188,7188,17.03,1.075,1.019,7.36,81.55,9.26,22.71,60,75.0,1.25,Specific Gravity,All Grain,,,American IPA,1.057
7189,7189,48.0,1.053,1.008,5.98,26.71,3.42,54.0,60,83.0,2.5,Specific Gravity,All Grain,0.75,22.0,Saison,1.047
7190,7190,120.0,1.04,1.01,3.85,33.36,3.56,45.0,60,65.0,,Specific Gravity,Partial Mash,0.35,20.0,Blonde Ale,1.106
7191,7191,21.0,1.056,1.015,5.37,13.45,9.46,28.5,60,70.0,,Specific Gravity,BIAB,,20.0,Irish Red Ale,1.041
7192,7192,20.82,1.041,1.01,4.12,36.63,6.15,28.39,60,65.0,1.25,Specific Gravity,All Grain,,16.67,American Pale Ale,1.03
7193,7193,647.31,1.062,1.009,7.03,60.35,4.71,704.09,75,75.0,1.5,Specific Gravity,All Grain,0.35,,American IPA,1.057
7194,7194,18.93,1.056,1.01,6.05,41.51,8.43,22.71,60,70.0,,Specific Gravity,BIAB,,18.33,American Pale Ale,1.047
7195,7195,20.82,1.055,1.016,5.14,35.58,7.88,25.55,60,63.0,,Specific Gravity,BIAB,,18.89,American Pale Ale,1.045
7196,7196,11.0,1.074,1.017,7.51,44.0,4.75,16.0,90,75.0,2.8,Specific Gravity,All Grain,1.0,20.0,American IPA,1.051
7197,7197,20.82,1.063,1.012,6.69,31.48,40.0,28.39,60,41.0,1.5,Specific Gravity,All Grain,1.0,22.22,American Stout,1.047
7198,7198,52.0,1.054,1.01,5.75,42.02,7.99,56.7,70,72.0,4.0,Specific Gravity,All Grain,1.0,20.0,American Pale Ale,1.0490000000000002
7199,7199,75.71,1.052,1.012,5.22,0.0,40.9,60.57,60,35.0,,Specific Gravity,extract,,,American Stout,1.065
7200,7200,18.93,1.047,1.013,4.44,26.28,3.96,11.36,60,35.0,,Specific Gravity,extract,0.35,16.67,Blonde Ale,1.078
7201,7201,18.93,1.054,1.011,5.69,40.94,8.65,28.39,60,75.0,,Specific Gravity,All Grain,,20.0,American Pale Ale,1.036
7202,7202,20.82,1.058,1.01,6.29,67.21,3.86,28.39,60,80.0,2.0,Specific Gravity,All Grain,0.35,,American IPA,1.042
7203,7203,20.82,1.073,1.02,6.97,95.31,8.12,18.93,60,35.0,,Specific Gravity,extract,,21.11,American IPA,1.08
7204,7204,19.0,1.055,1.012,5.57,64.61,6.65,26.0,60,55.0,2.6,Specific Gravity,All Grain,0.75,19.0,American IPA,1.04
7205,7205,5.0,1.048,1.008,5.24,66.47,4.75,4.5,40,60.0,,Specific Gravity,extract,,20.0,American IPA,1.054
7206,7206,20.82,1.074,1.018,7.29,50.31,20.6,11.36,60,75.0,,Specific Gravity,Partial Mash,0.35,20.0,American Amber Ale,1.135
7207,7207,18.93,1.067,1.017,6.56,114.74,6.92,22.71,75,50.0,,Specific Gravity,Partial Mash,1.0,,American IPA,1.055
7208,7208,20.82,1.051,1.013,5.03,45.08,14.33,24.61,60,82.0,1.4,Specific Gravity,All Grain,,,American Pale Ale,1.043
7209,7209,20.8,1.06,1.011,6.47,58.79,22.12,26.5,60,60.0,3.1,Specific Gravity,All Grain,,21.0,American Pale Ale,1.047
7210,7210,20.82,1.065,1.012,7.04,57.66,6.66,22.71,60,70.0,1.25,Specific Gravity,All Grain,,,American Light Lager,1.06
7211,7211,21.0,1.042,1.001,5.33,31.84,4.96,26.0,90,78.0,,Specific Gravity,BIAB,,26.0,Saison,1.034
7212,7212,20.82,1.069,1.016,7.02,32.72,11.6,28.39,60,75.0,1.4,Specific Gravity,All Grain,0.75,23.89,Saison,1.051
7213,7213,22.71,1.046,1.013,4.35,32.19,7.35,28.39,60,75.0,1.55,Specific Gravity,All Grain,0.75,,American Pale Ale,1.037
7214,7214,20.82,1.057,1.014,5.7,44.71,6.85,28.39,60,70.0,,Specific Gravity,BIAB,,,American Pale Ale,1.042
7215,7215,9.46,1.058,1.011,6.18,57.76,6.32,11.36,60,70.0,,Specific Gravity,extract,,20.0,American IPA,1.048
7216,7216,20.82,1.055,1.016,5.12,19.69,6.0,28.39,60,70.0,1.5,Specific Gravity,All Grain,,23.89,Blonde Ale,1.04
7217,7217,18.93,1.072,1.018,7.04,72.56,40.0,28.39,60,70.0,1.5,Specific Gravity,All Grain,,,American IPA,1.048
7218,7218,20.82,1.099,1.027,9.49,0.0,50.0,28.39,60,60.0,1.0,Specific Gravity,All Grain,,,American Light Lager,1.073
7219,7219,3.79,14.0655,2.65095,6.14,44.34,6.62,7.57,60,70.0,1.5,Plato,All Grain,0.35,20.0,American IPA,7.2
7220,7220,18.93,1.054,1.016,4.99,58.65,11.92,11.36,60,35.0,,Specific Gravity,Partial Mash,,21.11,American Pale Ale,1.09
7221,7221,18.93,1.055,1.014,5.46,32.17,3.16,11.36,60,35.0,,Specific Gravity,extract,,,American Light Lager,1.092
7222,7222,20.82,1.044,1.009,4.65,26.44,3.67,26.5,60,68.0,1.5,Specific Gravity,All Grain,0.75,,American IPA,1.035
7223,7223,50.0,1.056,1.01,5.96,48.92,15.16,60.0,70,50.0,3.0,Specific Gravity,All Grain,,20.0,Irish Red Ale,1.046
7224,7224,45.42,1.053,1.013,5.32,41.08,22.84,53.0,60,79.0,,Specific Gravity,BIAB,,17.22,American Brown Ale,1.046
7225,7225,18.93,1.053,1.015,5.05,34.07,14.4,24.61,60,75.0,,Specific Gravity,All Grain,0.5,15.56,American Pale Ale,1.041
7226,7226,18.93,1.067,1.011,7.34,76.24,5.64,23.66,60,64.0,,Specific Gravity,BIAB,,23.89,American IPA,1.054
7227,7227,20.82,1.051,1.011,5.33,36.0,6.3,28.39,90,70.0,,Specific Gravity,BIAB,0.5,18.89,American Pale Ale,1.038
7228,7228,18.93,1.052,1.009,5.6,27.61,27.62,26.5,60,70.0,,Specific Gravity,BIAB,0.35,21.11,American Brown Ale,1.037
7229,7229,18.93,1.045,1.012,4.41,233.93,4.6,11.36,60,35.0,,Specific Gravity,extract,1.0,,Blonde Ale,1.0759999999999998
7230,7230,21.2,1.054,1.003,6.64,28.4,5.06,28.39,90,70.0,,Specific Gravity,All Grain,,,Saison,1.036
7231,7231,18.93,1.041,1.008,4.27,39.61,8.39,24.68,60,65.0,2.5,Specific Gravity,All Grain,,18.0,American Pale Ale,1.031
7232,7232,3.79,1.061,1.015,6.02,54.05,34.09,5.68,60,60.0,1.5,Specific Gravity,All Grain,,,American Brown Ale,1.041
7233,7233,22.71,1.069,1.019,6.57,55.51,37.69,30.28,60,85.0,1.5,Specific Gravity,All Grain,,,American Stout,1.052
7234,7234,11.0,1.036,1.008,3.6,29.61,10.57,13.0,60,35.0,,Specific Gravity,extract,0.75,20.0,American Pale Ale,1.03
7235,7235,25.0,1.052,1.014,4.95,13.91,3.35,28.5,90,76.0,3.0,Specific Gravity,All Grain,0.75,21.0,Witbier,1.046
7236,7236,41.64,1.068,1.017,6.68,44.57,11.87,47.32,60,75.0,1.5,Specific Gravity,All Grain,0.35,18.33,American Amber Ale,1.06
7237,7237,12.87,1.08,1.015,9.19,104.0,10.23,16.09,60,48.0,1.6,Specific Gravity,All Grain,,19.44,Imperial IPA,1.064
7238,7238,37.85,1.07,1.015,7.12,53.91,7.24,43.53,60,70.0,1.0,Specific Gravity,All Grain,0.35,18.33,American IPA,1.061
7239,7239,18.93,1.068,1.013,7.25,49.96,6.47,13.25,60,70.0,,Specific Gravity,Partial Mash,,20.0,American Pale Ale,1.097
7240,7240,20.0,1.06,1.01,6.55,57.09,8.65,12.0,60,70.0,,Specific Gravity,Partial Mash,,18.0,American IPA,1.056
7241,7241,18.93,1.081,1.019,8.22,170.75,7.58,11.36,90,35.0,,Specific Gravity,extract,,,American IPA,1.135
7242,7242,22.71,1.06,1.01,6.55,135.19,9.73,24.61,60,65.0,1.25,Specific Gravity,All Grain,1.0,20.56,American IPA,1.055
7243,7243,18.93,1.056,1.011,6.0,108.1,5.94,9.46,60,35.0,,Specific Gravity,extract,,,American IPA,1.113
7244,7244,18.93,1.074,1.014,7.91,112.97,10.35,27.44,90,70.0,1.5,Specific Gravity,All Grain,0.5,20.0,American IPA,1.051
7245,7245,10.0,1.052,1.009,5.69,62.31,7.05,12.5,60,73.0,3.0,Specific Gravity,All Grain,,20.0,American IPA,1.042
7246,7246,20.82,1.0490000000000002,1.013,4.77,46.17,5.0,24.61,90,65.0,1.5,Specific Gravity,All Grain,0.75,20.0,Witbier,1.042
7247,7247,18.93,1.071,1.022,6.43,98.57,4.67,26.5,60,70.0,1.25,Specific Gravity,All Grain,,18.89,American IPA,1.05
7248,7248,20.82,1.054,1.007,6.21,28.95,3.49,22.71,70,80.0,1.3,Specific Gravity,All Grain,1.25,21.11,Saison,1.05
7249,7249,24.6,1.055,1.013,5.58,39.87,8.0,29.3,70,79.0,,Specific Gravity,All Grain,1.0,,American Pale Ale,1.046
7250,7250,20.82,1.0659999999999998,1.016,6.67,55.87,50.0,28.39,120,35.0,1.5,Specific Gravity,All Grain,,20.0,American Stout,1.0490000000000002
7251,7251,18.93,1.069,1.018,6.82,94.68,49.76,11.36,60,35.0,,Specific Gravity,extract,1.0,,American Stout,1.074
7252,7252,20.82,1.046,1.011,4.65,43.65,3.67,28.39,60,70.0,1.5,Specific Gravity,All Grain,0.35,20.0,American Pale Ale,1.034
7253,7253,3.79,1.064,1.012,6.85,43.48,25.59,4.73,45,35.0,,Specific Gravity,Partial Mash,,21.11,American IPA,1.052
7254,7254,20.82,1.062,1.016,6.12,68.01,9.9,28.39,90,60.0,1.5,Specific Gravity,All Grain,,,American IPA,1.046
7255,7255,37.85,1.068,1.017,6.71,60.42,16.21,47.32,60,77.0,,Specific Gravity,All Grain,,,American IPA,1.051
7256,7256,7.57,1.084,1.024,7.95,42.91,34.95,9.46,60,70.0,,Specific Gravity,Partial Mash,,21.11,American Brown Ale,1.067
7257,7257,4.92,1.055,1.01,5.94,32.85,10.43,9.46,60,75.0,,Specific Gravity,BIAB,,,American Pale Ale,1.029
7258,7258,21.5,1.054,1.01,5.73,70.05,14.0,26.0,75,70.0,,Specific Gravity,BIAB,,17.0,American IPA,1.045
7259,7259,18.93,1.055,1.014,5.43,49.39,7.12,26.5,75,75.0,1.5,Specific Gravity,All Grain,,20.0,American IPA,1.039
7260,7260,21.77,1.048,1.015,4.32,99.97,5.55,28.39,60,70.0,,Specific Gravity,All Grain,,20.0,American IPA,1.037
7261,7261,20.82,14.6836,4.71148,5.41,39.17,17.43,28.39,60,79.0,1.5,Plato,All Grain,,20.56,American Amber Ale,10.9
7262,7262,17.0,14.4405,3.01395,6.16,40.09,7.83,25.0,60,65.0,5.0,Plato,All Grain,,20.0,American IPA,10.0
7263,7263,21.77,1.074,1.019,7.24,49.8,7.1,26.5,60,75.0,1.5,Specific Gravity,All Grain,,,American IPA,1.061
7264,7264,3.79,1.068,1.015,6.95,80.48,10.0,5.05,60,75.0,1.5,Specific Gravity,All Grain,,,American IPA,1.051
7265,7265,13.0,1.064,1.015,6.44,43.42,8.07,19.0,60,72.0,3.0,Specific Gravity,All Grain,,20.0,American IPA,1.044
7266,7266,18.93,1.108,1.027,10.59,41.64,50.0,28.39,60,75.0,,Specific Gravity,All Grain,,,American Stout,1.072
7267,7267,25.0,1.047,1.011,4.74,17.86,3.62,30.0,75,35.0,,Specific Gravity,BIAB,,,Witbier,1.039
7268,7268,25.0,1.057,1.011,5.96,49.31,11.61,29.0,60,75.0,2.2,Specific Gravity,All Grain,,21.0,American IPA,1.0490000000000002
7269,7269,19.0,1.067,1.016,6.62,63.18,6.61,25.0,60,72.0,2.9,Specific Gravity,All Grain,,,American Pale Ale,1.051
7270,7270,19.87,1.052,1.013,5.19,23.85,5.09,27.44,60,75.0,1.25,Specific Gravity,All Grain,0.75,18.89,American Pale Ale,1.038
7271,7271,41.64,1.06,1.017,5.71,97.06,5.93,45.42,60,70.0,,Specific Gravity,All Grain,,,American IPA,1.051
7272,7272,20.82,1.06,1.012,6.23,29.24,12.98,13.25,60,85.0,,Specific Gravity,Partial Mash,,,Irish Red Ale,1.094
7273,7273,13.25,1.047,1.012,4.6,0.0,3.01,17.64,60,75.0,,Specific Gravity,All Grain,,,Saison,1.045
7274,7274,18.93,1.071,1.018,6.99,109.74,6.38,11.36,60,25.0,,Specific Gravity,extract,,20.0,American IPA,1.118
7275,7275,30.28,1.0590000000000002,1.011,6.25,56.57,10.78,30.28,60,40.0,,Specific Gravity,extract,0.75,20.0,American IPA,1.0590000000000002
7276,7276,24.61,1.051,1.013,4.93,28.25,4.94,30.28,90,75.0,,Specific Gravity,All Grain,1.0,21.11,American Pale Ale,1.043
7277,7277,18.93,1.064,1.016,6.39,57.8,7.98,28.39,100,70.0,1.25,Specific Gravity,All Grain,,20.0,American IPA,1.043
7278,7278,20.82,1.065,1.011,6.97,32.32,6.74,11.36,60,70.0,,Specific Gravity,Partial Mash,0.75,22.22,Saison,1.118
7279,7279,20.82,1.0759999999999998,1.017,7.76,0.0,10.3,11.36,60,35.0,,Specific Gravity,extract,,,American Light Lager,1.0
7280,7280,22.71,1.053,1.013,5.33,40.44,6.11,28.39,60,86.0,1.5,Specific Gravity,All Grain,0.75,20.0,American Pale Ale,1.043
7281,7281,46.0,13.8282,2.82051,5.92,41.85,5.69,56.0,90,75.0,3.6,Plato,All Grain,1.0,18.0,American Pale Ale,11.5
7282,7282,41.64,1.063,1.016,6.18,55.76,6.28,49.21,60,75.0,1.25,Specific Gravity,All Grain,0.75,20.0,American IPA,1.054
7283,7283,18.93,1.0590000000000002,1.017,5.42,14.49,12.5,11.36,60,70.0,,Specific Gravity,BIAB,0.5,18.33,Irish Red Ale,1.014
7284,7284,20.5,1.06,1.011,6.38,53.65,11.35,13.0,60,25.0,,Specific Gravity,extract,,20.0,American IPA,1.095
7285,7285,23.0,1.056,1.014,5.49,110.54,7.1,28.5,60,70.0,3.0,Specific Gravity,All Grain,,,American IPA,1.045
7286,7286,34.07,1.072,1.018,7.04,76.32,20.68,37.44,60,75.0,1.5,Specific Gravity,All Grain,,,American Brown Ale,1.065
7287,7287,20.82,1.0490000000000002,1.012,4.95,18.89,4.27,28.39,90,70.0,1.5,Specific Gravity,All Grain,,,Blonde Ale,1.036
7288,7288,18.93,1.083,1.019,8.28,168.46,14.2,11.36,60,75.0,,Specific Gravity,Partial Mash,1.0,21.11,Imperial IPA,1.062
7289,7289,11.36,1.0659999999999998,1.015,6.77,112.62,7.66,17.03,60,70.0,1.4,Specific Gravity,All Grain,,19.44,American IPA,1.044
7290,7290,5.2,1.048,1.009,5.09,48.26,9.14,8.0,60,72.0,,Specific Gravity,All Grain,,19.0,American IPA,1.031
7291,7291,39.75,1.062,1.016,6.12,38.71,35.59,45.42,60,78.0,1.5,Specific Gravity,All Grain,,22.22,American Stout,1.054
7292,7292,37.85,1.06,1.01,6.53,43.62,3.7,41.64,60,72.0,1.25,Specific Gravity,All Grain,,,Saison,1.055
7293,7293,19.0,1.051,1.011,5.27,60.19,12.65,25.0,90,75.0,4.5,Specific Gravity,All Grain,1.0,20.0,American IPA,1.039
7294,7294,435.32,1.061,1.009,6.84,19.32,19.41,473.18,75,78.0,1.5,Specific Gravity,All Grain,0.35,20.0,American Light Lager,1.056
7295,7295,22.0,1.065,1.018,6.19,76.42,6.37,27.0,60,72.0,3.0,Specific Gravity,All Grain,,20.0,American IPA,1.053
7296,7296,53.0,1.053,1.012,5.45,23.08,4.94,56.78,60,80.0,1.25,Specific Gravity,All Grain,1.0,20.0,Blonde Ale,1.05
7297,7297,45.42,1.074,1.018,7.24,67.16,15.36,53.0,60,75.0,1.5,Specific Gravity,All Grain,,,American Amber Ale,1.063
7298,7298,21.0,1.053,1.011,5.58,33.12,5.22,25.5,60,70.0,3.0,Specific Gravity,All Grain,1.0,18.0,American Pale Ale,1.044
7299,7299,22.71,1.048,1.008,5.24,29.07,10.39,15.14,60,49.9,,Specific Gravity,BIAB,,,American Pale Ale,1.073
7300,7300,20.82,1.071,1.02,6.68,44.49,40.0,37.85,90,65.0,,Specific Gravity,BIAB,,22.22,American Stout,1.039
7301,7301,170.0,1.054,1.013,5.28,32.62,16.15,170.0,60,75.0,3.0,Specific Gravity,All Grain,,,American Amber Ale,1.054
7302,7302,20.82,1.086,1.014,9.45,127.76,5.15,25.55,75,70.0,1.33,Specific Gravity,All Grain,0.5,18.33,Imperial IPA,1.07
7303,7303,18.93,1.064,1.015,6.36,65.3,8.19,25.74,60,72.0,,Specific Gravity,BIAB,0.75,20.0,American IPA,1.047
7304,7304,29.0,1.065,1.016,6.41,30.97,5.06,39.0,90,65.0,3.0,Specific Gravity,All Grain,,,American Pale Ale,1.048
7305,7305,19.87,1.0590000000000002,1.015,5.82,26.34,26.47,29.34,90,75.0,1.5,Specific Gravity,All Grain,,,American Brown Ale,1.04
7306,7306,18.93,1.072,1.009,8.28,72.59,5.84,26.5,60,72.0,,Specific Gravity,BIAB,,,American IPA,1.052
7307,7307,25.0,1.056,1.014,5.44,42.44,11.59,32.0,60,65.0,,Specific Gravity,BIAB,,20.0,American Pale Ale,1.044
7308,7308,5.0,1.047,1.012,4.62,0.0,5.3,5.0,60,70.0,5.8,Specific Gravity,All Grain,,,Blonde Ale,1.047
7309,7309,18.93,1.064,1.016,6.25,25.34,10.88,26.5,60,70.0,1.5,Specific Gravity,All Grain,,20.0,American IPA,1.046
7310,7310,37.85,1.082,1.012,9.17,0.0,66.38,49.21,60,75.0,,Specific Gravity,All Grain,,,American Stout,1.051
7311,7311,25.0,1.0659999999999998,1.012,6.99,66.13,17.95,28.0,60,75.0,2.6,Specific Gravity,All Grain,1.0,18.0,American Light Lager,1.0590000000000002
7312,7312,18.93,1.097,1.016,10.65,117.78,50.0,26.5,60,68.0,1.0,Specific Gravity,All Grain,,18.89,American Light Lager,1.07
7313,7313,41.64,1.07,1.02,6.6,58.43,12.5,51.1,75,70.0,1.5,Specific Gravity,All Grain,,,American IPA,1.057
7314,7314,22.71,1.057,1.011,6.03,44.42,5.94,36.34,150,75.0,,Specific Gravity,BIAB,,18.89,American IPA,1.036
7315,7315,20.82,1.064,1.011,6.96,98.4,6.22,28.39,60,70.0,1.5,Specific Gravity,All Grain,1.0,18.89,American IPA,1.047
7316,7316,21.58,1.075,1.014,8.0,147.23,4.61,28.39,60,75.0,,Specific Gravity,BIAB,0.75,16.67,American IPA,1.057
7317,7317,75.0,1.058,1.017,5.53,25.59,8.77,86.0,60,85.0,3.0,Specific Gravity,All Grain,1.25,20.0,Saison,1.051
7318,7318,9.46,1.062,1.013,6.47,54.84,9.44,13.25,60,65.0,,Specific Gravity,BIAB,0.5,15.56,American IPA,1.044
7319,7319,20.0,1.045,1.008,4.89,23.34,9.76,26.0,60,75.0,3.0,Specific Gravity,All Grain,,21.0,Irish Red Ale,1.035
7320,7320,19.87,1.061,1.011,6.55,69.11,9.98,28.39,60,70.0,,Specific Gravity,BIAB,0.35,23.33,American IPA,1.043
7321,7321,12.0,1.053,1.019,4.43,44.5,8.76,18.0,60,73.0,3.0,Specific Gravity,All Grain,,16.0,American Pale Ale,1.035
7322,7322,18.93,1.057,1.014,5.64,67.2,14.38,28.39,90,70.0,,Specific Gravity,All Grain,,,American Amber Ale,1.038
7323,7323,50.0,1.0590000000000002,1.014,5.93,28.48,11.36,56.0,90,80.0,,Specific Gravity,All Grain,0.75,,American Pale Ale,1.053
7324,7324,22.71,1.041,1.007,4.47,16.93,3.83,26.5,65,70.0,1.4,Specific Gravity,All Grain,0.75,21.11,Blonde Ale,1.035
7325,7325,20.82,1.071,1.014,7.53,37.7,4.38,28.39,60,80.0,1.5,Specific Gravity,All Grain,0.75,18.89,American Pale Ale,1.052
7326,7326,30.0,1.047,1.009,4.89,36.89,6.4,33.0,60,55.0,2.5,Specific Gravity,All Grain,0.35,18.0,American Pale Ale,1.042
7327,7327,9.46,1.057,1.014,5.63,18.47,4.88,11.36,60,35.0,,Specific Gravity,extract,0.35,18.33,Witbier,1.048
7328,7328,24.0,1.065,1.016,6.5,52.43,4.07,29.0,60,70.0,3.1,Specific Gravity,All Grain,0.75,16.0,American IPA,1.054
7329,7329,18.93,1.062,1.015,6.06,0.0,16.68,22.71,60,70.0,,Specific Gravity,All Grain,,,Irish Red Ale,1.043
7330,7330,18.93,1.052,1.01,5.54,36.93,7.06,26.5,60,70.0,1.5,Specific Gravity,All Grain,0.75,18.33,American Pale Ale,1.037
7331,7331,18.93,1.071,1.012,7.75,119.61,13.44,24.61,60,70.0,,Specific Gravity,BIAB,0.35,20.56,Imperial IPA,1.054
7332,7332,18.93,1.0759999999999998,1.019,7.51,43.44,5.16,9.46,60,35.0,,Specific Gravity,extract,,20.0,American IPA,1.152
7333,7333,13.25,1.035,1.007,3.61,28.63,3.97,17.03,60,65.0,,Specific Gravity,BIAB,,20.0,American Pale Ale,1.027
7334,7334,20.0,1.057,1.01,6.08,0.0,6.63,25.0,60,75.0,4.0,Specific Gravity,All Grain,,20.0,American Light Lager,1.045
7335,7335,22.71,1.061,1.012,6.36,33.52,4.74,28.39,90,72.0,1.5,Specific Gravity,All Grain,,,Saison,1.048
7336,7336,22.71,1.06,1.015,5.94,42.22,7.82,27.44,60,70.0,1.5,Specific Gravity,All Grain,0.75,18.33,American Pale Ale,1.05
7337,7337,60.0,1.061,1.01,6.88,17.01,42.82,70.0,60,70.0,3.0,Specific Gravity,All Grain,0.35,22.0,American Stout,1.052
7338,7338,22.0,1.0590000000000002,1.013,6.0,64.56,7.95,11.0,60,35.0,,Specific Gravity,extract,0.35,20.0,American IPA,1.117
7339,7339,18.93,1.064,1.011,6.93,38.0,5.17,24.61,90,75.0,1.25,Specific Gravity,All Grain,,,Saison,1.0490000000000002
7340,7340,50.0,1.064,1.016,6.27,63.98,41.23,58.0,60,70.0,,Specific Gravity,All Grain,,18.0,American Stout,1.055
7341,7341,20.82,1.057,1.011,6.08,4.08,16.96,28.39,30,70.0,1.3,Specific Gravity,All Grain,,,American Amber Ale,1.042
7342,7342,45.42,1.0659999999999998,1.012,7.02,66.53,4.58,51.1,60,77.0,1.5,Specific Gravity,All Grain,1.0,18.33,American IPA,1.058
7343,7343,180.0,1.0590000000000002,1.012,6.18,35.38,6.2,220.0,90,80.0,4.0,Specific Gravity,All Grain,1.0,18.0,American IPA,1.048
7344,7344,18.93,1.046,1.011,4.6,31.38,14.28,26.5,60,70.0,1.24,Specific Gravity,All Grain,,,American Brown Ale,1.033
7345,7345,18.93,1.06,1.019,5.28,62.18,12.44,26.5,60,72.0,,Specific Gravity,All Grain,,,American Pale Ale,1.043
7346,7346,20.82,1.0490000000000002,1.012,4.82,22.34,3.28,28.39,60,70.0,1.5,Specific Gravity,All Grain,,,American Light Lager,1.036
7347,7347,20.82,1.101,1.024,10.13,90.15,6.31,28.39,60,60.0,,Specific Gravity,All Grain,,,American Light Lager,1.074
7348,7348,24.5,1.05,1.011,5.2,26.23,7.0,30.0,60,71.0,20.0,Specific Gravity,All Grain,,19.0,American Pale Ale,1.041
7349,7349,20.82,1.0590000000000002,1.011,6.31,27.69,13.54,24.61,60,75.0,1.8,Specific Gravity,All Grain,0.35,20.0,Saison,1.05
7350,7350,18.93,1.074,1.012,8.04,84.63,13.77,24.61,60,75.0,,Specific Gravity,All Grain,,,American IPA,1.057
7351,7351,20.82,1.089,1.017,9.46,108.01,6.84,30.28,60,70.0,,Specific Gravity,BIAB,,,American IPA,1.061
7352,7352,13.0,1.05,1.01,5.32,38.88,15.37,19.0,60,72.0,,Specific Gravity,BIAB,,,American Light Lager,1.035
7353,7353,15.0,1.053,1.009,5.83,55.56,7.76,19.0,60,65.0,,Specific Gravity,BIAB,,18.0,American IPA,1.042
7354,7354,52.0,1.05,1.009,5.35,33.7,19.47,62.0,60,80.0,3.0,Specific Gravity,All Grain,0.5,19.0,American Brown Ale,1.042
7355,7355,22.71,1.07,1.019,6.61,62.24,11.08,30.28,60,70.0,,Specific Gravity,All Grain,,22.22,American IPA,1.051
7356,7356,24.61,1.068,1.015,6.98,70.27,40.0,30.28,90,70.0,,Specific Gravity,All Grain,1.0,20.0,American IPA,1.055
7357,7357,20.82,1.063,1.012,6.67,51.09,6.17,30.28,60,75.0,1.5,Specific Gravity,All Grain,,,American Pale Ale,1.043
7358,7358,43.53,1.064,1.016,6.32,46.38,4.44,54.89,90,75.0,1.5,Specific Gravity,All Grain,0.75,23.33,American IPA,1.051
7359,7359,20.82,1.068,1.017,6.69,24.86,5.11,28.39,60,60.0,1.0,Specific Gravity,All Grain,,,American IPA,1.05
7360,7360,18.17,1.0590000000000002,1.011,6.25,75.11,9.32,20.82,60,35.0,,Specific Gravity,extract,,,American IPA,1.051
7361,7361,1500.0,1.0490000000000002,1.008,5.34,17.82,3.55,1630.0,60,85.0,3.0,Specific Gravity,All Grain,0.75,20.0,Blonde Ale,1.045
7362,7362,18.93,1.087,1.019,8.89,92.17,9.55,15.14,60,68.2,,Specific Gravity,Partial Mash,1.0,20.0,Imperial IPA,1.109
7363,7363,18.93,1.05,1.011,5.13,22.81,9.7,26.5,60,70.0,1.28,Specific Gravity,All Grain,,,American IPA,1.036
7364,7364,18.93,1.0590000000000002,1.013,5.96,44.27,13.97,24.61,60,63.0,1.5,Specific Gravity,All Grain,,18.33,American Pale Ale,1.045
7365,7365,5.68,1.07,1.018,6.9,0.0,9.1,4.73,60,65.0,1.5,Specific Gravity,All Grain,,,American IPA,1.084
7366,7366,20.82,1.037,1.003,4.51,17.02,3.23,26.5,90,66.0,1.5,Specific Gravity,All Grain,0.75,,Saison,1.029
7367,7367,90.0,1.056,1.006,6.45,13.29,3.41,110.0,75,80.0,2.5,Specific Gravity,All Grain,0.75,22.0,Witbier,1.045
